asof_timestamp_utc,bin,probability,probability_pct
2026-02-07T15:16:48Z,â‰¤3.8%,0.010000000000000009,1.0
2026-02-07T15:16:48Z,"(3.8%, 3.9%]",0.020000000000000018,2.0
2026-02-07T15:16:48Z,"(3.9%, 4.0%]",0.0,0.0
2026-02-07T15:16:48Z,"(4.0%, 4.1%]",0.0,0.0
2026-02-07T15:16:48Z,"(4.1%, 4.2%]",0.03499999999999992,3.5
2026-02-07T15:16:48Z,"(4.2%, 4.3%]",0.2400000000000001,24.0
2026-02-07T15:16:48Z,"(4.3%, 4.4%]",0.30999999999999994,31.0
2026-02-07T15:16:48Z,"(4.4%, 4.5%]",0.265,26.5
2026-02-07T15:16:48Z,"(4.5%, 4.6%]",0.07999999999999999,8.0
2026-02-07T15:16:48Z,"(4.6%, 4.7%]",0.0,0.0
2026-02-07T15:16:48Z,>4.7%,0.04,4.0
